fill_date,decision_date,ticker,side,shares,decision_price,close_price,fill_price,half_spread_bp,impact_bp,slip_vs_decision_bp,participation_pct,over_participation_cap,notional_usd,cost_usd,reason
2026-08-14,2026-08-13,PHK,SELL,3.0,4.639999866485596,4.599999904632568,4.588097659723932,25.77,0.104445989987577,111.85820744640584,0.0003075345976422,False,-13.764292979171795,0.0357067347259096,target
2026-08-14,2026-08-13,PFN,SELL,1.0,7.090000152587891,7.079999923706055,7.067923148688917,16.97,0.0875920159276023,31.13822767819796,0.0002943773918163,False,-7.067923148688917,0.0120767750171379,target
2026-08-14,2026-08-13,PDI,BUY,5.0,15.869999885559082,15.75,15.76109802999992,6.96,0.0863682539183673,-68.62120752644473,0.0001314267690043,False,78.8054901499996,0.0554901499996063,target
2026-08-14,2026-08-13,PDO,BUY,25.0,12.880000114440918,12.789999961853027,12.802137139225463,9.08,0.4095835876748624,-60.45261997176144,0.004055807916937,False,320.05342848063657,0.3034294343108978,target
2026-08-14,2026-08-13,JFR,BUY,31.0,7.760000228881836,7.670000076293945,7.682650988851114,16.09,0.4040188152925314,-99.67685276971672,0.0053922421290659,False,238.1621806543845,0.3921782892722181,target
2026-08-14,2026-08-13,MQY,BUY,35.0,11.359999656677246,11.3100004196167,11.32281440034428,10.92,0.409779179634723,-32.73350128237706,0.0076956904133685,False,396.2985040120499,0.4484893254653777,target
2026-08-14,2026-08-13,NVG,BUY,87.0,12.479999542236328,12.479999542236328,12.49332423553726,9.93,0.7468379724984646,10.676837972498632,0.0165210786175465,False,1086.9192084917415,1.1592483171810937,target
2026-08-14,2026-08-13,NZF,BUY,89.0,12.449999809265137,12.420000076293944,12.43345104325578,9.96,0.8700860541113156,-13.292181737257769,0.0209362502940484,False,1106.5771428497644,1.197136059603217,target
2026-08-14,2026-08-13,MHD,BUY,119.0,11.699999809265137,11.649999618530272,11.663569784767937,10.67,0.9782117442109564,-31.13677358212663,0.0339321357285429,False,1387.9648043873842,1.614849782281718,target
2026-08-14,2026-08-13,NEA,BUY,125.0,11.420000076293944,11.369999885559082,11.38293944183572,10.85,0.5304365935569517,-32.45239422997814,0.0107582408124623,False,1422.8674302294648,1.6174445345795707,target
2026-08-14,2026-08-13,NAD,BUY,172.0,11.869999885559082,11.869999885559082,11.883410279546435,10.5,0.797720401555156,11.297720401555187,0.024927536231884,False,2043.946568081987,2.306587765824773,target
2026-08-17,2026-08-14,JFR,SELL,28.0,7.670000076293945,7.639999866485596,7.6274087423089565,16.09,0.3905293150238928,55.52976996262116,0.0049417578538651,False,-213.56744478465075,0.3525514769458979,target
2026-08-17,2026-08-14,DSL,SELL,23.0,10.84000015258789,10.779999732971191,10.76752831304899,11.08,0.4890354648694709,66.85593959295244,0.0047073270568972,False,-247.65315120012676,0.2868426582106362,target
2026-08-17,2026-08-14,NEA,SELL,11.0,11.369999885559082,11.300000190734863,11.28754682746476,10.85,0.1706752742489511,72.5180817275517,0.0011113356233582,False,-124.16301510211235,0.1369869959711493,target
2026-08-17,2026-08-14,MHD,SELL,9.0,11.649999618530272,11.539999961853027,11.527352574409278,10.67,0.2896078730985069,105.276436169075,0.0027397260273972,False,-103.7461731696835,0.1138264869937444,target
2026-08-17,2026-08-14,MQY,SELL,3.0,11.3100004196167,11.239999771118164,11.227557871953334,10.92,0.1493055321957357,72.89349655582033,0.0009765625,False,-33.68267361586,0.0373256974944915,target
2026-08-17,2026-08-14,PFN,SELL,1.0,7.079999923706055,7.03000020980835,7.018013286568649,16.97,0.0810994053407634,87.5517483126731,0.0002357378595002,False,-7.018013286568649,0.0119869232397009,target
2026-08-17,2026-08-14,AWF,BUY,1.0,10.149999618530272,10.15999984741211,10.172015042439684,11.76,0.0659795354589843,21.69007363233666,0.0003547357218871,False,10.172015042439684,0.0120151950275744,target
2026-08-17,2026-08-14,NZF,BUY,2.0,12.420000076293944,12.300000190734863,12.312413461265807,9.96,0.1320897060601797,-86.6236830654199,0.0004335573379579,False,24.624826922531614,0.0248265410618877,target
2026-08-17,2026-08-14,PCN,BUY,3.0,11.770000457763672,11.75,11.761833235517123,9.9,0.170838737975574,-6.939016082332383,0.000968992248062,False,35.28549970655137,0.03549970655137,target
2026-08-17,2026-08-14,NVG,BUY,14.0,12.479999542236328,12.40999984741211,12.422683124940209,9.93,0.2902076422615978,-45.92661810775112,0.0024225644575186,False,173.91756374916292,0.1775658853933883,target
2026-08-17,2026-08-14,PDI,BUY,19.0,15.75,15.43000030517578,15.440934884621775,6.96,0.1265711145364904,-196.2318192877621,0.0002213136713608,False,293.3777628078137,0.2077570094738874,target
2026-08-17,2026-08-14,NAD,BUY,22.0,11.869999885559082,11.75,11.762722167175683,10.5,0.3273763197302996,-90.37718569307796,0.0035330014453187,False,258.779887677865,0.2798876778650303,target
2026-08-17,2026-08-14,PDO,BUY,24.0,12.789999961853027,12.720000267028809,12.731965607768831,9.08,0.3267142207847172,-45.37478831687647,0.0025485823510672,False,305.567174586452,0.2871681777605914,target
2026-08-17,2026-08-14,HYT,BUY,35.0,8.319999694824219,8.350000381469727,8.361955984568967,14.08,0.2380868898797796,50.428234715980125,0.0032305704264352,False,292.66845945991383,0.4184461084734092,target
2026-08-17,2026-08-14,PHK,BUY,36.0,4.599999904632568,4.550000190734863,4.561878189567806,25.77,0.3354908461985337,-82.87329533718247,0.00282131661442,False,164.22761482444102,0.4276079579859377,target
2026-08-17,2026-08-14,BIT,BUY,48.0,12.170000076293944,12.109999656677246,12.121949993388371,9.52,0.3481561105887479,-39.48240148261783,0.0074789654097849,False,581.853599682642,0.5736161621341012,target
