recorded_utc,fill_date,instrument,side,qty,price,source,note
2026-09-10T16:08:08.551627+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552575.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.555779+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552576.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.559963+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552577.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.564185+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552578.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.570373+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552579.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.574611+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55257a.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.578780+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55257b.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.582987+00:00,2026-09-10,SRLN,SELL,270.0,40.49,ibkr_paper,execId=00012ec5.6b55259b.01.01 orderRef='' commission=1.628665 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.587214+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55259c.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.591412+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55259d.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.595634+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55259e.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.599864+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55259f.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.604093+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5525a0.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.608319+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5525a1.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.612568+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5525a2.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.616790+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5525a3.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.621084+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5525a4.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.625353+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5525a5.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.629602+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525a6.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.633899+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525a7.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.638169+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525a8.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.642420+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525a9.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.646736+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525aa.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.651095+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525ab.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.655567+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525ac.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.659947+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525ad.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.664640+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525ae.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.668999+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525af.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
