ticker,grp,adv,h,n,beta_px,t_px,beta_nav,t_nav
PTY,multi,12036854.225948881,5,5754,-23.570757498009982,-3.2258651853696967,2.452935217109409,0.6001958472602145
PTY,multi,12036854.225948881,10,5749,-36.264724571578114,-2.5305223466668525,3.573847150915567,0.40021071026346156
PTY,multi,12036854.225948881,21,5738,-77.30922992960113,-2.5273542363607198,-2.1329299996664903,-0.10692605945920614
PTY,multi,12036854.225948881,63,5696,-113.78321578261222,-2.412667879690253,31.7570440247588,1.0101005846324786
TEI,emd,682054.1954426538,5,6768,-19.781102618797462,-3.214389166651401,2.725461174796366,0.876504077753376
TEI,emd,682054.1954426538,10,6763,-27.165046131581754,-2.9529522190094575,5.2445134091593895,0.8025836546433688
TEI,emd,682054.1954426538,21,6752,-47.17291732282987,-2.9269605016281255,4.8456630765143425,0.3931090825951253
TEI,emd,682054.1954426538,63,6710,-108.36694614954295,-2.8300155686059365,-18.50945298167802,-0.6429804889701861
VKQ,muni,1686183.405789875,5,4665,-10.898942974516658,-1.862628064843672,10.408253628050653,2.5988970716140614
VKQ,muni,1686183.405789875,10,4660,-15.26068321861214,-1.395827739349973,11.56464446816809,1.8612635124509485
VKQ,muni,1686183.405789875,21,4649,-26.130077086137643,-1.3146348050310828,12.89898474331158,1.0920505534383584
VKQ,muni,1686183.405789875,63,4607,-52.22268820518743,-0.9217001429473818,-14.242432155521573,-0.38602464196465747
VMO,muni,2171690.632007236,5,4665,-12.486543664899115,-1.900279989298158,8.99981984262515,2.135226923469491
VMO,muni,2171690.632007236,10,4660,-18.2785485134268,-1.5132634861486929,9.73729591913883,1.5642206591337307
VMO,muni,2171690.632007236,21,4649,-21.111532997003128,-1.038719014754809,11.069377674074815,0.8872054295578952
VMO,muni,2171690.632007236,63,4607,-24.05624576516782,-0.4776108803584352,-3.7368937782247467,-0.11230514608225428
VVR,loan,2150986.395393099,5,4665,-0.6285478154563326,-0.07776682377276237,16.827656953943773,3.1892511291912964
VVR,loan,2150986.395393099,10,4660,1.8656845130066855,0.15072780709225175,26.765316142451127,2.552918781041098
VVR,loan,2150986.395393099,21,4649,0.31251800858848866,0.012783920160775352,43.809044209151665,1.7907596556255059
VVR,loan,2150986.395393099,63,4607,63.592245861366024,0.7126142841054988,126.0112588716449,1.3094274331270488
